id_estado,ano,populacao
11,2022,1581196.0
12,2022,830018.0
13,2022,3941613.0
14,2022,636707.0
15,2022,8120131.0
16,2022,733759.0
17,2022,1511460.0
21,2022,6776699.0
22,2022,3271199.0
23,2022,8794957.0
24,2022,3302729.0
25,2022,3974687.0
26,2022,9058931.0
27,2022,3127683.0
28,2022,2210004.0
29,2022,14141626.0
31,2022,20539989.0
32,2022,3833712.0
33,2022,16055174.0
35,2022,44411238.0
41,2022,11444380.0
42,2022,7610361.0
43,2022,10882965.0
50,2022,2757013.0
51,2022,3658649.0
52,2022,7056495.0
53,2022,2817381.0
